Date;DAX;RWE;gold;oil;US-$/â‚¬
2016-01-01;9798.11;12.870;981.49;34.9;0.9228
2016-02-01;9495.40;10.540;1030.49;33.08;0.9197
2016-03-01;9965.51;11.375;1144.73;33.77;0.8787
2016-04-01;10038.97;13.045;1137.17;37.04;0.8729
2016-05-01;10262.74;11.765;1192.35;43.71;0.8983
2016-06-01;9680.09;14.190;1121.85;45.81;0.9005
2016-07-01;10337.50;15.905;1222.25;46.04;0.8949
2016-08-01;10592.69;14.665;1244.67;39.78;0.8962
2016-09-01;10511.02;15.335;1204.53;43.35;0.8896
2016-10-01;10665.01;14.460;1212.10;46.15;0.9107
2016-11-01;10640.30;11.860;1180.53;44.95;0.9444
2016-12-01;11481.06;11.815;1082.17;47.72;0.9509
2017-01-01;11599.01;11.800;1081.43;52.69;0.9494